"Inicio del intervalo,""Fin del intervalo"",""Intervalo completo"",""Filtros"",""Tipo de medios"",""Acumulado o detallado"",""ID de código de conclusión"",""Nombre de código de conclusión"",""ID de cola"",""Nombre de cola"",""Manejo medio"",""Conversación media"",""Retención media"",""ACW medio"",""Manejo total"",""Conversación total"",""Retención total"",""Total de ACW"",""Retención"",""Manejo"",""% de manejo"",""% de manejo total"",""% de tiempo total de conversación"",""Máximo de manejos"",""Mínimo de manejos"",""Máximo de conversaciones"",""Mínimo de conversaciones"",""Máximo de retenciones"",""Mínimo de retenciones"",""Máximo de ACW"",""Mínimo de ACW"",""Conversación"",""ACW"",""Detener"",""Total de detenciones"",""Media de detenciones"",""Máximo de detenciones"",""Mínimo de detenciones"""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""dd21f0a1-6c80-401f-a022-124399b02068"",""Bloqueo y desbloqueo por hurto - 611"","""","""",""53987"",""36313"","""",""10156.333333333334"",""161961"",""72626"","""",""30469"","""",""3"",""0.0007804370447450572"",""0.0004497818411855952"",""0.000317781573251744"",""71114"",""21051"",""51201"",""21425"","""","""",""10165"",""10145"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""dd21f0a1-6c80-401f-a022-124399b02068"",""Bloqueo y desbloqueo por hurto - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""53987"",""36313"","""",""10156.333333333334"",""161961"",""72626"","""",""30469"","""",""3"",""0.0007804370447450572"",""0.0004497818411855952"",""0.000317781573251744"",""71114"",""21051"",""51201"",""21425"","""","""",""10165"",""10145"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""a448335a-02bf-4ede-8d34-255e926c16b7"",""Cancelaciones - 611"","""","""",""85202.27777777778"",""59374.529411764706"","""",""10141.166666666666"",""1533641"",""1009367"","""",""182541"","""",""18"",""0.004682622268470343"",""0.00425907392951215"",""0.004416575788951519"",""236921"",""19517"",""215537"",""5365"","""","""",""10171"",""10125"",""17"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""a448335a-02bf-4ede-8d34-255e926c16b7"",""Cancelaciones - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""85202.27777777778"",""59374.529411764706"","""",""10141.166666666666"",""1533641"",""1009367"","""",""182541"","""",""18"",""0.004682622268470343"",""0.00425907392951215"",""0.004416575788951519"",""236921"",""19517"",""215537"",""5365"","""","""",""10171"",""10125"",""17"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""074d5023-83e5-45aa-a5ea-4803e70490e4"",""Cliente no responde, llamada molesta - 611"","""","""",""57047.63510848126"",""19561.931769722814"",""222353.5"",""10150.83234714004"",""28923151"",""9174546"",""444707"",""5146472"",""2"",""507"",""0.13189386056191468"",""0.0803224733711757"",""0.04014404843651715"",""930805"",""11583"",""901416"",""524"",""322777"",""121930"",""10241"",""10103"",""469"",""507"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""074d5023-83e5-45aa-a5ea-4803e70490e4"",""Cliente no responde, llamada molesta - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""57047.63510848126"",""19561.931769722814"",""222353.5"",""10150.83234714004"",""28923151"",""9174546"",""444707"",""5146472"",""2"",""507"",""0.13189386056191468"",""0.0803224733711757"",""0.04014404843651715"",""930805"",""11583"",""901416"",""524"",""322777"",""121930"",""10241"",""10103"",""469"",""507"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""915e9899-c4c3-4d5c-be7b-97fb1d2871a8"",""Cliente retenido - 611"","""","""",""70246.33333333333"",""77521"","""",""10138.333333333334"",""210739"",""155042"","""",""30415"","""",""3"",""0.0007804370447450572"",""0.000585243209350468"",""0.0006784001690867856"",""138876"",""12327"",""112843"",""42199"","""","""",""10166"",""10121"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""915e9899-c4c3-4d5c-be7b-97fb1d2871a8"",""Cliente retenido - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""70246.33333333333"",""77521"","""",""10138.333333333334"",""210739"",""155042"","""",""30415"","""",""3"",""0.0007804370447450572"",""0.000585243209350468"",""0.0006784001690867856"",""138876"",""12327"",""112843"",""42199"","""","""",""10166"",""10121"",""2"",""3"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""9a03add7-d369-4dfb-9f0b-033ea7127746"",""Configuraciones - 611"","""","""",""170239.75"",""140993.5"",""49139"",""10152.020833333334"",""8171508"",""6767688"",""49139"",""487297"",""1"",""48"",""0.012486992715920915"",""0.02269309224753379"",""0.02961262550487358"",""752078"",""27135"",""729142"",""574"",""49139"",""49139"",""10194"",""10115"",""48"",""48"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""9a03add7-d369-4dfb-9f0b-033ea7127746"",""Configuraciones - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""170239.75"",""140993.5"",""49139"",""10152.020833333334"",""8171508"",""6767688"",""49139"",""487297"",""1"",""48"",""0.012486992715920915"",""0.02269309224753379"",""0.02961262550487358"",""752078"",""27135"",""729142"",""574"",""49139"",""49139"",""10194"",""10115"",""48"",""48"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""e956b9f8-aa58-46dc-80bc-12724b526549"",""Consulta a otros servicios de Antel - 611"","""","""",""102101.87640449438"",""72148.2183908046"",""133692"",""10154.191011235955"",""9087067"",""6276895"",""133692"",""903723"",""1"",""89"",""0.02315296566077003"",""0.025235690852963757"",""0.027465116738303163"",""477846"",""16217"",""444098"",""2836"",""133692"",""133692"",""10209"",""10115"",""87"",""89"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""e956b9f8-aa58-46dc-80bc-12724b526549"",""Consulta a otros servicios de Antel - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""102101.87640449438"",""72148.2183908046"",""133692"",""10154.191011235955"",""9087067"",""6276895"",""133692"",""903723"",""1"",""89"",""0.02315296566077003"",""0.025235690852963757"",""0.027465116738303163"",""477846"",""16217"",""444098"",""2836"",""133692"",""133692"",""10209"",""10115"",""87"",""89"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""cb3818f8-def5-412c-9a60-1bd56c24ce3e"",""Facturacion - 611"","""","""",""134403.4280821918"",""106433.33916083915"",""30565.666666666668"",""10152.739726027397"",""39245801"",""30439935"",""91697"",""2964600"",""3"",""292"",""0.07596253902185224"",""0.10898950137739007"",""0.13319266425220755"",""666789"",""15669"",""640862"",""1789"",""83120"",""1042"",""10240"",""10102"",""286"",""292"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""cb3818f8-def5-412c-9a60-1bd56c24ce3e"",""Facturacion - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""134403.4280821918"",""106433.33916083915"",""30565.666666666668"",""10152.739726027397"",""39245801"",""30439935"",""91697"",""2964600"",""3"",""292"",""0.07596253902185224"",""0.10898950137739007"",""0.13319266425220755"",""666789"",""15669"",""640862"",""1789"",""83120"",""1042"",""10240"",""10102"",""286"",""292"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""0389efaf-bd54-449e-8c4e-4c149f6a4617"",""Informacion general - 611"","""","""",""95024.42028985507"",""66930.63919213974"",""61961.40625"",""10155.05147426287"",""190143865"",""122616931"",""1982765"",""20320258"",""32"",""2001"",""0.5205515088449532"",""0.5280484665434595"",""0.5365213730686055"",""938596"",""11932"",""894569"",""312"",""410563"",""1351"",""14883"",""10092"",""1832"",""2001"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""0389efaf-bd54-449e-8c4e-4c149f6a4617"",""Informacion general - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""95024.42028985507"",""66930.63919213974"",""61961.40625"",""10155.05147426287"",""190143865"",""122616931"",""1982765"",""20320258"",""32"",""2001"",""0.5205515088449532"",""0.5280484665434595"",""0.5365213730686055"",""938596"",""11932"",""894569"",""312"",""410563"",""1351"",""14883"",""10092"",""1832"",""2001"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""ININ-WRAP-UP-TIMEOUT"",""ININ-WRAP-UP-TIMEOUT"","""","""",""75515.21181556195"",""49384.25218914186"",""155952.5"",""10000"",""52407557"",""28198408"",""311905"",""6940000"",""2"",""694"",""0.1805411030176899"",""0.14554100974616746"",""0.12338466193146481"",""949587"",""11852"",""908002"",""43"",""250641"",""61264"",""10000"",""10000"",""571"",""694"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""ININ-WRAP-UP-TIMEOUT"",""ININ-WRAP-UP-TIMEOUT"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""75515.21181556195"",""49384.25218914186"",""155952.5"",""10000"",""52407557"",""28198408"",""311905"",""6940000"",""2"",""694"",""0.1805411030176899"",""0.14554100974616746"",""0.12338466193146481"",""949587"",""11852"",""908002"",""43"",""250641"",""61264"",""10000"",""10000"",""571"",""694"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""e926c0fb-be6e-493b-99cd-6a8af2ed1c34"",""Pin y Puk - 611"","""","""",""106823.22222222222"",""112536.46153846153"","""",""10153.277777777777"",""1922818"",""1462974"","""",""182759"","""",""18"",""0.004682622268470343"",""0.0053398572514667345"",""0.00640137387913966"",""372851"",""13781"",""348008"",""3919"","""","""",""10242"",""10118"",""13"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""e926c0fb-be6e-493b-99cd-6a8af2ed1c34"",""Pin y Puk - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""106823.22222222222"",""112536.46153846153"","""",""10153.277777777777"",""1922818"",""1462974"","""",""182759"","""",""18"",""0.004682622268470343"",""0.0053398572514667345"",""0.00640137387913966"",""372851"",""13781"",""348008"",""3919"","""","""",""10242"",""10118"",""13"",""18"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""14d49a4d-87ce-45e0-953e-ee810b28615a"",""Reclamos - 611"","""","""",""171670.5806451613"",""137743.15573770492"",""63729.71428571428"",""10152.467741935483"",""21287152"",""16804665"",""446108"",""1258906"",""7"",""124"",""0.03225806451612903"",""0.05911654299589176"",""0.07353031809088369"",""942327"",""17525"",""902979"",""1814"",""393563"",""4213"",""10224"",""10098"",""122"",""124"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""14d49a4d-87ce-45e0-953e-ee810b28615a"",""Reclamos - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""171670.5806451613"",""137743.15573770492"",""63729.71428571428"",""10152.467741935483"",""21287152"",""16804665"",""446108"",""1258906"",""7"",""124"",""0.03225806451612903"",""0.05911654299589176"",""0.07353031809088369"",""942327"",""17525"",""902979"",""1814"",""393563"",""4213"",""10224"",""10098"",""122"",""124"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""be0fa1f1-7a8e-4828-ad42-d931fefec237"",""Roaming - 611"","""","""",""124820.77272727272"",""101939.76190476191"","""",""10147.363636363636"",""2746057"",""2140735"","""",""223242"","""",""22"",""0.005723204994797087"",""0.007626074014488623"",""0.009366977889668606"",""486122"",""30570"",""457546"",""8502"","""","""",""10191"",""10108"",""21"",""22"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""be0fa1f1-7a8e-4828-ad42-d931fefec237"",""Roaming - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""124820.77272727272"",""101939.76190476191"","""",""10147.363636363636"",""2746057"",""2140735"","""",""223242"","""",""22"",""0.005723204994797087"",""0.007626074014488623"",""0.009366977889668606"",""486122"",""30570"",""457546"",""8502"","""","""",""10191"",""10108"",""21"",""22"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""b43a48e4-11c7-4909-913c-5a8ee213e637"",""Tramites - 611"","""","""",""285155.2"",""250249.4"",""21864"",""10138.2"",""1425776"",""1251247"",""21864"",""50691"",""1"",""5"",""0.0013007284079084287"",""0.003959522072586815"",""0.0054749434112649036"",""858597"",""72324"",""800512"",""41956"",""21864"",""21864"",""10163"",""10122"",""5"",""5"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""b43a48e4-11c7-4909-913c-5a8ee213e637"",""Tramites - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""285155.2"",""250249.4"",""21864"",""10138.2"",""1425776"",""1251247"",""21864"",""50691"",""1"",""5"",""0.0013007284079084287"",""0.003959522072586815"",""0.0054749434112649036"",""858597"",""72324"",""800512"",""41956"",""21864"",""21864"",""10163"",""10122"",""5"",""5"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Acumulado"",""98223aa4-aab5-475c-bf07-b72d68161072"",""Ventas y modificaciones de contrato - 611"","""","""",""141040.5"",""114187.78947368421"","""",""10147.6"",""2820810"",""2169568"","""",""202952"","""",""20"",""0.005202913631633715"",""0.007833670546827562"",""0.009493139265781396"",""445125"",""35240"",""422937"",""2905"","""","""",""10182"",""10119"",""19"",""20"","""","""","""","""","""""
"1/04/25 00:00,""1/05/25 00:00"",""VERDADERO"",""Dirección: Saliente"",""voz"",""Detallado"",""98223aa4-aab5-475c-bf07-b72d68161072"",""Ventas y modificaciones de contrato - 611"",""b7169a87-a54c-4beb-ac31-106168eedaea"",""Salientes_Reclamos_Movil"",""141040.5"",""114187.78947368421"","""",""10147.6"",""2820810"",""2169568"","""",""202952"","""",""20"",""0.005202913631633715"",""0.007833670546827562"",""0.009493139265781396"",""445125"",""35240"",""422937"",""2905"","""","""",""10182"",""10119"",""19"",""20"","""","""","""","""","""""
